,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HamburgerSV_6129,23,16,5,0,4,3,4,43,20,4,1,27,5,15,230,60
SCFreiburg_6129,55,15,13,6,5,5,3,47,23,2,2,32,3,13,482,79
BayernMunchen_6129,62,11,14,5,8,6,4,36,17,2,1,24,7,23,554,82
BayerLeverkusen_6129,66,15,13,6,5,2,2,41,24,3,2,37,8,23,604,85
Darmstadt_6130,51,19,12,4,6,7,1,69,28,3,2,35,4,35,328,63
RBLeipzig_6130,45,18,13,6,5,4,1,30,18,2,2,32,5,20,369,75
EintrachtFrankfurt_6135,58,9,11,4,6,2,4,48,16,0,3,44,13,21,523,79
VfLWolfsburg_6136,72,14,9,1,7,4,2,32,17,2,1,10,7,18,723,87
Augsburg_6136,47,10,14,6,5,1,0,54,27,3,3,38,9,31,456,75
TSGHoffenheim_6136,54,17,14,8,4,3,1,14,9,1,2,28,12,19,518,87
FCKoln_6136,52,16,10,2,6,5,1,39,22,5,2,42,4,27,457,79
BorussiaDortmund_6136,74,13,24,10,11,8,1,60,26,4,3,22,13,28,661,85
BorussiaMonchengladbach_6136,37,11,3,0,3,1,1,23,11,3,0,28,2,18,479,81
WerderBremen_6137,40,10,7,3,1,5,3,43,16,3,3,29,13,17,377,67
FSVMainz_6137,48,16,10,4,4,3,3,46,21,2,2,24,10,31,407,76
EintrachtFrankfurt_6142,37,15,6,1,3,6,2,49,20,2,2,13,8,37,370,70
BayerLeverkusen_6143,56,17,18,6,8,4,3,43,16,1,4,33,12,22,452,73
BayernMunchen_6143,71,6,16,8,6,10,0,34,21,2,2,20,10,13,879,89
SCFreiburg_6143,43,23,13,5,6,4,3,66,28,3,2,26,10,16,372,69
Ingolstadt_6143,44,8,5,2,1,0,2,58,32,6,2,51,4,33,368,60
RBLeipzig_6143,62,16,11,4,3,6,2,58,29,0,4,25,12,27,549,75
Schalke_6143,38,21,8,2,3,4,4,26,17,1,3,28,8,17,349,75
HerthaBerlin_6144,46,20,5,2,3,3,4,27,11,6,0,31,5,17,400,80
HamburgerSV_6144,44,17,9,2,3,4,1,40,19,3,4,21,2,16,328,70
BorussiaMonchengladbach_6149,50,16,11,2,7,1,3,33,15,3,2,20,5,23,477,82
TSGHoffenheim_6150,34,25,5,3,1,1,2,19,8,5,1,35,9,19,342,74
Augsburg_6150,52,14,13,5,7,6,1,57,26,5,1,12,6,30,399,72
