,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lyon_5521,56,15,9,6,2,5,3,29,16,2,1,40,14,19,545,86
Montpellier_5572,46,16,4,1,3,5,2,25,12,2,0,51,5,23,397,75
Monaco_5526,46,13,10,2,4,3,0,32,18,3,4,38,15,21,370,76
Toulouse_5527,42,12,8,3,3,3,1,22,8,1,2,33,6,27,353,75
Lens_5527,56,14,14,3,5,7,2,50,30,0,6,26,19,32,444,71
Bordeaux_5527,61,11,20,6,9,9,3,21,10,2,5,17,4,20,511,87
Lille_5527,53,14,10,3,4,8,1,32,18,3,3,22,24,39,444,73
Montpellier_5528,39,19,16,9,5,4,1,19,9,2,2,56,4,24,305,69
Metz_5528,42,15,12,6,4,6,2,37,22,3,2,37,6,25,319,74
Nantes_5528,36,22,5,0,3,4,5,37,18,2,2,30,4,20,228,61
