,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
Tottenham_5604,55,1,1,1,8,2,0,12,4,3
WestBrom_5604,38,1,1,1,4,2,1,9,2,11
Southampton_5604,71,2,1,1,7,4,0,22,1,5
Burnley_5604,56,1,2,0,7,2,0,11,0,5
WestHam_5604,36,0,0,1,5,2,1,10,3,8
ManchesterUnited_5604,65,2,3,2,8,3,0,12,0,4
QPR_5605,35,1,2,0,7,1,4,13,1,4
Liverpool_5605,43,2,2,2,6,2,2,7,1,7
Swansea_5606,32,2,2,2,6,0,0,8,0,5
AstonVilla_5611,60,2,2,0,9,1,1,10,4,4
Everton_5611,58,1,2,2,10,2,2,10,2,8
HullCity_5611,36,0,3,1,2,0,3,8,0,4
Leicester_5611,48,0,1,2,10,6,0,11,2,5
NewcastleUtd_5611,52,3,2,5,6,6,1,17,1,4
StokeCity_5611,59,1,3,1,7,2,3,14,4,4
CrystalPalace_5611,35,2,3,1,6,2,1,15,1,5
ManchesterCity_5612,48,2,3,5,6,4,2,11,3,2
Arsenal_5612,38,0,0,0,8,0,1,11,1,5
Chelsea_5613,58,2,1,4,4,3,0,8,2,6
Sunderland_5615,29,0,1,0,5,0,0,8,3,5
Liverpool_5619,57,0,2,2,10,5,1,8,2,1
WestHam_5619,61,1,0,1,5,1,2,11,2,5
Southampton_5619,40,1,3,1,5,2,2,12,3,5
QPR_5619,59,0,4,4,6,3,1,10,2,3
ManchesterUnited_5619,67,0,2,1,10,0,0,11,2,6
Tottenham_5619,61,3,2,6,3,2,2,7,1,2
Swansea_5619,44,1,0,0,17,1,0,12,2,6
Sunderland_5619,36,4,1,0,4,3,1,8,1,5
Burnley_5619,38,2,1,2,8,0,1,15,2,5
WestBrom_5619,32,1,1,0,4,0,2,3,6,4
AthBilbao_5345,56,2,0,0,7,1,1,9,1,5
Valencia_5345,51,0,1,2,12,1,1,15,1,6
Dep._5345,47,1,0,2,10,1,1,17,0,15
Espanyol_5345,46,0,3,2,n,4,0,11,4,1
RealSociedad_5346,58,2,2,3,8,4,1,9,2,8
Getafe_5346,43,2,5,1,13,2,0,8,3,6
Elche_5346,18,0,3,0,7,0,0,12,0,4
Villarreal_5346,47,1,4,0,3,3,2,8,0,7
Cordoba_5347,31,0,3,0,9,1,2,4,4,6
Atl._5347,43,2,2,1,6,2,2,14,0,4
Almeria_5351,39,1,2,1,5,1,0,24,1,7
Malaga_5351,50,3,4,4,10,2,1,15,1,7
CeltaVigo_5352,65,2,2,2,7,4,4,16,0,9
Levante_5352,41,1,3,1,8,4,1,11,1,11
Eibar_5352,53,2,1,2,8,1,0,12,1,6
Sevilla_5352,58,2,1,3,8,3,0,9,0,14
Barcelona_5353,74,4,5,0,8,6,2,9,0,8
RealMadrid_5353,50,4,5,1,7,3,2,15,0,6
RayoVallecano_5353,54,1,2,2,13,1,4,12,2,5
GranadaCF_5353,39,2,1,0,4,2,0,9,2,8
Cordoba_5365,51,3,3,2,11,0,0,15,0,11
AthBilbao_5366,34,1,1,0,10,1,1,14,3,7
Levante_5366,44,0,2,2,10,0,0,13,5,2
Atl._5366,34,1,1,1,5,2,0,8,2,6
RealSociedad_5366,41,1,2,3,6,3,0,10,0,11
Elche_5367,28,3,3,2,8,4,2,9,1,10
Espanyol_5367,44,0,1,3,4,4,1,19,2,7
Getafe_5367,36,0,2,1,6,1,0,11,1,9
Villarreal_5367,63,0,4,2,7,1,0,14,0,8
Dep._5368,40,1,0,1,9,4,0,13,0,12
Eibar_5372,49,5,1,0,5,7,2,14,3,6
RealMadrid_5373,59,7,1,2,4,1,1,13,0,5
GranadaCF_5373,36,2,0,0,4,4,1,21,2,11
